,date,open,high,low,close,volume,ema_9,ema_21,ema_55,ema_200,supertrend,cross_9_21,cross_9_55,cross_21_55,cross_21_200,cross_55_200,cross_price_9,cross_price_21,cross_price_55,cross_price_200,sup_signal,event,final_signal
95,2023-03-30 22:48:00,6094.0,6094.0,6088.0,6088.0,7.0,6093.556165725159,6095.289872617236,6097.957300281014,,6100.190208918736,red,no,red,no,no,red,no,no,no,red,NA,NA
96,2023-03-30 22:49:00,6088.0,6094.0,6088.0,6094.0,12.0,6093.644932580128,6095.172611470215,6097.81596812812,,6100.190208918736,red,no,red,no,no,green,no,no,no,red,NA,NA
97,2023-03-30 22:50:00,6092.0,6097.0,6092.0,6096.0,12.0,6094.115946064102,6095.247828609286,6097.751112123545,,6100.190208918736,red,no,red,no,no,green,no,no,no,red,NA,NA
98,2023-03-30 22:51:00,6096.0,6100.0,6095.0,6095.0,12.0,6094.292756851281,6095.225298735715,6097.652858119132,,6100.190208918736,red,no,red,no,no,green,no,no,no,red,NA,NA
99,2023-03-30 22:52:00,6096.0,6098.0,6096.0,6098.0,3.0,6095.034205481025,6095.477544305196,6097.665256043449,,6100.190208918736,red,no,red,no,no,green,no,no,no,red,NA,NA
100,2023-03-30 22:53:00,6097.0,6099.0,6097.0,6099.0,4.0,6095.827364384821,6095.797767550178,6097.712925470469,,6100.190208918736,green,no,red,no,no,green,no,no,no,red,NA,NA
101,2023-03-30 22:54:00,6099.0,6099.0,6096.0,6096.0,7.0,6095.861891507857,6095.8161523183435,6097.65174956081,,6100.190208918736,green,no,red,no,no,green,no,no,no,red,NA,NA
102,2023-03-30 22:55:00,6096.0,6098.0,6096.0,6098.0,2.0,6096.289513206286,6096.014683925767,6097.664187076495,,6100.190208918736,green,no,red,no,no,green,no,no,no,red,NA,NA
103,2023-03-30 22:56:00,6099.0,6100.0,6097.0,6100.0,12.0,6097.031610565029,6096.376985387061,6097.747608966621,,6100.190208918736,green,no,red,no,no,green,no,no,no,red,NA,NA
104,2023-03-30 22:57:00,6099.0,6101.0,6099.0,6100.0,4.0,6097.625288452024,6096.706350351874,6097.828051503527,,6100.190208918736,green,no,red,no,no,green,no,no,no,red,NA,NA
105,2023-03-30 22:58:00,6102.0,6102.0,6099.0,6099.0,9.0,6097.900230761619,6096.914863956249,6097.869906806972,,6100.190208918736,green,no,red,no,no,green,no,no,no,red,NA,NA
106,2023-03-30 22:59:00,6096.0,6098.0,6094.0,6096.0,10.0,6097.520184609295,6096.831694505681,6097.803124421009,,6100.190208918736,green,no,red,no,no,red,no,no,no,red,NA,NA
107,2023-03-30 23:00:00,6097.0,6102.0,6097.0,6101.0,11.0,6098.216147687436,6097.210631368801,6097.917298548829,,6088.364462054015,green,no,red,no,no,green,no,no,no,green,WHEN SUPERTREND SIGNAL CHANGED TO GREEN,buy
108,2023-03-30 23:01:00,6102.0,6103.0,6100.0,6102.0,15.0,6098.972918149949,6097.6460285170915,6098.063109314942,,6090.578015848613,green,no,red,no,no,green,no,no,no,green,NA,NA
109,2023-03-30 23:02:00,6102.0,6102.0,6098.0,6101.0,6.0,6099.378334519959,6097.950935015538,6098.16799826798,,6090.578015848613,green,no,red,no,no,green,no,no,no,green,NA,NA
110,2023-03-30 23:03:00,6102.0,6104.0,6102.0,6104.0,7.0,6100.302667615967,6098.500850014125,6098.376284044123,,6092.173192837377,green,no,green,no,no,green,no,no,no,green,WHEN EMA21 CROSSED EMA55 TO GREEN,buy
111,2023-03-30 23:04:00,6105.0,6105.0,6103.0,6103.0,11.0,6100.842134092773,6098.909863649204,6098.541416756833,,6093.655873553639,green,no,green,no,no,green,no,no,no,green,NA,NA
112,2023-03-30 23:05:00,6103.0,6108.0,6103.0,6108.0,12.0,6102.273707274218,6099.736239681095,6098.879223301232,,6094.690286198275,green,no,green,no,no,green,no,no,no,green,NA,NA
113,2023-03-30 23:06:00,6108.0,6108.0,6101.0,6101.0,18.0,6102.018965819375,6099.851126982813,6098.954965326187,,6094.690286198275,green,no,green,no,no,red,no,no,no,green,NA,NA
114,2023-03-30 23:07:00,6103.0,6106.0,6100.0,6102.0,14.0,6102.0151726555,6100.046479075285,6099.063716564538,,6094.690286198275,green,no,green,no,no,red,no,no,no,green,NA,NA
115,2023-03-30 23:08:00,6102.0,6104.0,6102.0,6104.0,6.0,6102.4121381243995,6100.40589006844,6099.2400124015185,,6094.690286198275,green,no,green,no,no,green,no,no,no,green,NA,NA
116,2023-03-30 23:09:00,6102.0,6102.0,6100.0,6100.0,2.0,6101.929710499519,6100.368990971309,6099.26715481575,,6094.690286198275,green,no,green,no,no,red,no,no,no,green,NA,NA
