id,date,open,high,low,close,volume,ema_9,ema_21,ema_55,ema_200,supertrend,cross_9_21,cross_9_55,cross_21_55,cross_21_200,cross_55_200,cross_price_9,cross_price_21,cross_price_55,cross_price_200,sup_signal,event,final_signal
595,31-03-2023 16:46,6161,6161,6160,6160,5,6159.818511,6159.467318,6153.483557,6131.120348,6153.215296,green,no,green,green,no,green,green,green,green,green,NA,NA
596,31-03-2023 16:47,6161,6161,6159,6161,7,6160.054809,6159.606653,6153.752001,6131.417658,6153.215296,green,no,green,green,no,green,green,green,green,green,NA,NA
597,31-03-2023 16:48,6161,6164,6159,6159,7,6159.843847,6159.551503,6153.93943,6131.692109,6153.215296,green,no,green,green,no,red,red,green,green,green,NA,NA
598,31-03-2023 16:49,6158,6159,6156,6159,11,6159.675078,6159.501366,6154.120164,6131.963829,6153.215296,green,no,green,green,no,red,red,green,green,green,NA,NA
599,31-03-2023 16:50,6158,6162,6157,6160,17,6159.740062,6159.546696,6154.330158,6132.242796,6153.215296,green,no,green,green,no,green,green,green,green,green,NA,NA
600,31-03-2023 16:51,6162,6165,6162,6164,11,6160.59205,6159.951542,6154.67551,6132.558788,6153.215296,green,no,green,green,no,green,green,green,green,green,NA,NA
601,31-03-2023 16:52,6165,6165,6162,6164,7,6161.27364,6160.319584,6155.008527,6132.871636,6153.215296,green,no,green,green,no,green,green,green,green,green,NA,NA
602,31-03-2023 16:53,6164,6165,6164,6165,4,6162.018912,6160.745076,6155.365366,6133.191321,6154.086021,green,no,green,green,no,green,green,green,green,green,NA,NA
603,31-03-2023 16:54,6166,6166,6163,6163,7,6162.215129,6160.950069,6155.638031,6133.487925,6154.227419,green,no,green,green,no,green,green,green,green,green,NA,NA
604,31-03-2023 16:55,6163,6163,6160,6160,3,6161.772104,6160.863699,6155.793816,6133.751727,6154.227419,green,no,green,green,no,red,red,green,green,green,NA,NA
605,31-03-2023 16:56,6159,6161,6157,6157,5,6160.817683,6160.512454,6155.836894,6133.983053,6154.227419,green,no,green,green,no,red,red,green,green,green,NA,NA
606,31-03-2023 16:57,6158,6158,6157,6158,3,6160.254146,6160.284049,6155.914148,6134.222027,6154.227419,red,no,green,green,no,red,red,green,green,green,NA,NA
607,31-03-2023 16:58,6160,6162,6158,6162,7,6160.603317,6160.440045,6156.131499,6134.498425,6154.227419,green,no,green,green,no,green,green,green,green,green,WHEN EMA9 CROSSED EMA21 TO GREEN,buy
608,31-03-2023 16:59,6163,6165,6158,6159,18,6160.282654,6160.309131,6156.233946,6134.742222,6154.227419,red,no,green,green,no,red,red,green,green,green,NA,NA
609,31-03-2023 17:00,6158,6158,6155,6156,11,6159.426123,6159.917392,6156.225591,6134.953742,6154.227419,red,no,green,green,no,red,red,red,green,green,NA,NA
610,31-03-2023 17:01,6154,6159,6154,6159,16,6159.340898,6159.833993,6156.324677,6135.193008,6154.227419,red,no,green,green,no,red,red,green,green,green,NA,NA
611,31-03-2023 17:02,6159,6159,6154,6154,10,6158.272719,6159.30363,6156.241653,6135.380143,6168.307573,red,no,green,green,no,red,red,red,green,red,WHEN PRICE CROSSED EMA55 TO RED,sell
612,31-03-2023 17:03,6154,6155,6154,6155,10,6157.618175,6158.912391,6156.197308,6135.575365,6165.426815,red,no,green,green,no,red,red,red,green,red,NA,NA
613,31-03-2023 17:04,6154,6154,6153,6153,16,6156.69454,6158.374901,6156.083118,6135.748745,6163.934134,red,no,green,green,no,red,red,red,green,red,NA,NA
614,31-03-2023 17:05,6151,6156,6151,6155,20,6156.355632,6158.068092,6156.044435,6135.940299,6163.934134,red,no,green,green,no,red,red,red,green,red,NA,NA
615,31-03-2023 17:06,6154,6154,6153,6153,3,6155.684506,6157.607356,6155.935706,6136.110048,6163.901648,red,no,green,green,no,red,red,red,green,red,NA,NA
616,31-03-2023 17:07,6152,6154,6151,6151,12,6154.747604,6157.006687,6155.75943,6136.258206,6162.761484,red,no,green,green,no,red,red,red,green,red,NA,NA
617,31-03-2023 17:08,6152,6152,6147,6151,20,6153.998084,6156.460625,6155.589451,6136.404891,6160.235335,red,no,green,green,no,red,red,red,green,red,NA,NA
618,31-03-2023 17:09,6150,6152,6148,6148,8,6152.798467,6155.691477,6155.318399,6136.520265,6160.235335,red,no,green,green,no,red,red,red,green,red,NA,NA
619,31-03-2023 17:10,6152,6157,6152,6157,12,6153.638773,6155.810434,6155.378456,6136.724044,6160.235335,red,no,green,green,no,green,green,green,green,red,NA,NA
620,31-03-2023 17:11,6156,6157,6155,6156,7,6154.111019,6155.827667,6155.400654,6136.915844,6160.235335,red,no,green,green,no,green,green,green,green,red,NA,NA
621,31-03-2023 17:12,6155,6157,6154,6156,6,6154.488815,6155.843334,6155.422059,6137.105736,6160.235335,red,no,green,green,no,green,green,green,green,red,NA,NA
